Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/10/08 06:00:00,8947.715495526329,0.0,28092.72365219644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.715495526329,8947.715495526329,0.0,9941.906106140364,0.0,8947.715495526329,9941.906106140364
2019/10/08 07:00:00,8952.247204520912,0.0,43638.056621610696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8952.247204520912,8952.247204520912,0.0,9946.941338356566,0.0,8952.247204520912,9946.941338356566
2019/10/08 08:00:00,11087.807577498379,0.0,47869.256845424374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11087.807577498379,11087.807577498379,0.0,12319.78619722042,0.0,11087.807577498379,12319.78619722042
2019/10/08 09:00:00,11718.207604312911,0.0,44095.65008062471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11718.207604312911,11718.207604312911,0.0,13020.230671458788,0.0,11718.207604312911,13020.230671458788
2019/10/08 10:00:00,13655.302671873798,0.0,51140.71437272578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13655.302671873798,13655.302671873798,0.0,15172.55852430422,0.0,13655.302671873798,15172.55852430422
2019/10/08 11:00:00,14067.722562060926,0.0,49916.07426233577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14067.722562060926,14067.722562060926,0.0,15630.802846734361,0.0,14067.722562060926,15630.802846734361
2019/10/08 12:00:00,13363.197521069455,0.0,47312.02489403993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13363.197521069455,13363.197521069455,0.0,14847.997245632727,0.0,13363.197521069455,14847.997245632727
2019/10/08 13:00:00,13468.281113841102,0.0,41801.02121886873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13468.281113841102,13468.281113841102,0.0,14964.75679315678,0.0,13468.281113841102,14964.75679315678
2019/10/08 14:00:00,13033.485825956574,0.0,43648.183930398474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13033.485825956574,13033.485825956574,0.0,14481.650917729527,0.0,13033.485825956574,14481.650917729527
2019/10/08 15:00:00,12764.742643669082,0.0,47093.01885914228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12764.742643669082,12764.742643669082,0.0,14183.047381854536,0.0,12764.742643669082,14183.047381854536
2019/10/08 16:00:00,13216.053195112117,0.0,48447.136019106045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13216.053195112117,13216.053195112117,0.0,14684.503550124577,0.0,13216.053195112117,14684.503550124577
2019/10/08 17:00:00,12836.759288824896,0.0,47772.57299256902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12836.759288824896,12836.759288824896,0.0,14263.065876472108,0.0,12836.759288824896,14263.065876472108
2019/10/08 18:00:00,11994.46694709046,0.0,42592.933681657385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11994.46694709046,11994.46694709046,0.0,13327.185496767179,0.0,11994.46694709046,13327.185496767179
2019/10/08 19:00:00,12731.729758857662,0.0,40725.04682347501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12731.729758857662,12731.729758857662,0.0,14146.366398730734,0.0,12731.729758857662,14146.366398730734
2019/10/08 20:00:00,11738.362340176313,0.0,36474.582265041485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11738.362340176313,11738.362340176313,0.0,13042.624822418125,0.0,11738.362340176313,13042.624822418125
2019/10/08 21:00:00,10728.428084534733,0.0,37981.36458000659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10728.428084534733,10728.428084534733,0.0,11920.475649483034,0.0,10728.428084534733,11920.475649483034
2019/10/08 22:00:00,8477.591947568824,0.0,33227.59617479054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8477.591947568824,8477.591947568824,0.0,9419.546608409804,0.0,8477.591947568824,9419.546608409804
2019/10/08 23:00:00,5738.175180634082,0.0,27700.212403369962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5738.175180634082,5738.175180634082,0.0,6375.750200704535,0.0,5738.175180634082,6375.750200704535
2019/10/09 00:00:00,3992.912533236794,0.0,19747.955007278204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3992.912533236794,3992.912533236794,0.0,4436.569481374216,0.0,3992.912533236794,4436.569481374216
2019/10/09 01:00:00,3002.364322837407,0.0,5476.145153006322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002.364322837407,3002.364322837407,0.0,3335.9603587082297,0.0,3002.364322837407,3335.9603587082297
2019/10/09 02:00:00,3452.703570684865,0.0,7849.939545151123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.703570684865,3452.703570684865,0.0,3836.337300760962,0.0,3452.703570684865,3836.337300760962
2019/10/09 03:00:00,3032.00533170632,0.0,5894.1567943724685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.00533170632,3032.00533170632,0.0,3368.8948130070216,0.0,3032.00533170632,3368.8948130070216
2019/10/09 04:00:00,4018.8426598989554,0.0,10955.911699212022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4018.8426598989554,4018.8426598989554,0.0,4465.380733221062,0.0,4018.8426598989554,4465.380733221062
2019/10/09 05:00:00,4923.433888455511,0.0,10439.409805817786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.433888455511,4923.433888455511,0.0,5470.4820982839,0.0,4923.433888455511,5470.4820982839
2019/10/09 06:00:00,8567.147008258496,0.0,29731.493378700616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8567.147008258496,8567.147008258496,0.0,9519.052231398327,0.0,8567.147008258496,9519.052231398327
2019/10/09 07:00:00,8748.841930506831,0.0,46721.070609957205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8748.841930506831,8748.841930506831,0.0,9720.935478340922,0.0,8748.841930506831,9720.935478340922
2019/10/09 08:00:00,10955.656021347328,0.0,48226.01454375801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10955.656021347328,10955.656021347328,0.0,12172.951134830364,0.0,10955.656021347328,12172.951134830364
2019/10/09 09:00:00,11951.03977954903,0.0,38588.92225699802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11951.03977954903,11951.03977954903,0.0,13278.933088387808,0.0,11951.03977954903,13278.933088387808
